Year,Department Title,Job Class Title,Regular Pay,Actual Earnings,Department #
2012,Airports,Sr Accountant Ii,84668.00,88435.00,101
2012,Airports,Security Officer,53636.00,57405.00,101
2012,Airports,Custodian/Ap,47075.00,50847.00,101
2012,Airports,Security Officer,59535.00,63341.00,101
2012,Airports,Airport Info Spec I,57044.00,56248.00,101
2012,Airports,Constr Equip Serv Workr,55502.00,59285.00,101
2012,Airports,Airport Police Ofcr Ii,79762.00,83546.00,101
2012,Airports,Custodian/Ap,47075.00,50859.00,101
2012,Airports,Maint & Constr Helper,57107.00,60905.00,101
2012,Airports,Airport Guide Ii,42261.00,46062.00,101
2012,Airports,Pr Clerk,67714.00,46106.00,101
2012,Airports,Airport Police Sgt,102333.00,106147.00,101
2012,Airports,Custodian/Ap,43488.00,47299.00,101
2012,Airports,Maint & Constr Helper,57107.00,60936.00,101
2012,Airports,Programmer/Analyst V,108722.00,112565.00,101
2012,Airports,Custodial Svcs Asst/Ap,42295.00,41483.00,101
2012,Airports,Maintenance Laborer,53939.00,53114.00,101
2012,Airports,Painter,73481.00,77338.00,101
2012,Airports,Mech Engrg Assc Iv,110226.00,114106.00,101
2012,Airports,Clerk Typist,48766.00,47952.00,101
2012,Airports,Sr Clerk Typist,60222.00,64092.00,101
2012,Airports,Custodian/Ap,42295.00,46166.00,101
2012,Airports,Plumber,88522.00,87708.00,101
2012,Airports,Security Officer,49410.00,53310.00,101
2012,Airports,Arpt Supt Of Oper I,67451.00,71341.00,101
2012,Airports,Traf Paint Sign Post Ii,62282.00,61464.00,101
2012,Airports,Airport Police Ofcr Ii,84209.00,88101.00,101
2012,Airports,Arpt Supt Of Oper I,63935.00,63112.00,101
2012,Airports,Exec Admin Asst Ii,78780.00,77959.00,101
2012,Airports,Airport Guide Ii,42261.00,46173.00,101
2012,Airports,Custodian/Ap,47075.00,50986.00,101
2012,Airports,Clerk Typist,48766.00,47939.00,101
2012,Airports,Commun Info Rep Iii,64813.00,68736.00,101
2012,Airports,Clerk Typist,48766.00,47939.00,101
2012,Airports,Custodian/Ap,48271.00,52187.00,101
2012,Airports,Airport Police Ofcr I,49841.00,53767.00,101
2012,Airports,Airport Police Ofcr Ii,82079.00,86003.00,101
2012,Airports,Constr Inspector,100302.00,104237.00,101
2012,Airports,Secretary,65457.00,43645.00,101
2012,Airports,Gardener Caretaker,51447.00,50615.00,101
2012,Airports,Custodian/Ap,45879.00,49834.00,101
2012,Airports,Auditor Ii,80952.00,80119.00,101
2012,Airports,Custodian/Ap,43488.00,47463.00,101
2012,Airports,Ch Build Operatng Engr,120517.00,97809.00,101
2012,Airports,Airport Safety Officer Ii,86568.00,90585.00,101
2012,Airports,Custodian/Ap,48271.00,52267.00,101
2012,Airports,Custodian/Ap,48271.00,52265.00,101
2012,Airports,Custodian/Ap,43488.00,47473.00,101
2012,Airports,Gardener Caretaker,52862.00,52022.00,101
2012,Airports,Custodian/Ap,43488.00,47501.00,101
2012,Airports,Envirn Affrs Ofc,116698.00,120710.00,101
2012,Airports,Airport Police Ofcr I,49841.00,53858.00,101
2012,Airports,Security Officer,53636.00,57659.00,101
2012,Airports,Airport Police Ofcr Ii,79762.00,83794.00,101
2012,Airports,Dir Of Mtce Airports Ii,159769.00,158926.00,101
2012,Airports,Sr Painter,80818.00,84858.00,101
2012,Airports,Security Officer,61010.00,65100.00,101
2012,Airports,Custodian Supervisor,56902.00,60956.00,101
2012,Airports,Airport Police Ofcr Ii,79762.00,83827.00,101
2012,Airports,Custodian/Ap,47075.00,51142.00,101
2012,Airports,Gardener Caretaker,52862.00,52013.00,101
2012,Airports,Custodian/Ap,44683.00,48775.00,101
2012,Airports,Management Analyst I,72767.00,76863.00,101
2012,Airports,Custodian/Ap,47075.00,51183.00,101
2012,Airports,Custodian/Ap,44683.00,48793.00,101
2012,Airports,Custodian/Ap,47075.00,51212.00,101
2012,Airports,Commun Info Rep Iii,63023.00,67154.00,101
2012,Airports,Custodian Supervisor,56902.00,61032.00,101
2012,Airports,Airport Police Ofcr Ii,79762.00,83896.00,101
2012,Airports,Custodian/Ap,48271.00,52409.00,101
2012,Airports,Security Officer,56586.00,60728.00,101
2012,Airports,Maintenance Laborer,53939.00,58081.00,101
2012,Airports,Gardener Caretaker,52862.00,52005.00,101
2012,Airports,Equipmnt Mechanic,71914.00,76061.00,101
2012,Airports,Airport Police Ofcr Ii,88469.00,87608.00,101
2012,Airports,Management Analyst Ii,85838.00,84974.00,101
2012,Airports,Park Maint Supvr/Ap,67774.00,66906.00,101
2012,Airports,Security Officer,49410.00,53605.00,101
2012,Airports,Custodian/Ap,45879.00,50088.00,101
2012,Airports,Sr Security Officer,57420.00,61628.00,101
2012,Airports,Exec Asst Airports,134739.00,133867.00,101
